452,Wanya Marcal-Madivadua,ENG,MF,20
453,Kasey McAteer,ENG,MF,21
454,Jannik Vestergaard,DEN,DF,30
455,Joe Wormleighton,ENG,MF,19
456,Max Kilman,ENG,DF,25
457,José Sá,POR,GK,30
458,Rúben Neves,POR,MF,25
459,Nathan Collins,IRL,DF,21
460,Matheus Nunes,POR,MF,24
461,Daniel Podence,POR,"FW,MF",27
462,João Moutinho,POR,MF,36
463,Nélson Semedo,POR,DF,29
464,Jonny Castro,ESP,DF,28
465,Hugo Bueno,ESP,DF,20
466,Hwang Hee-chan,KOR,FW,27
467,Rayan Aït Nouri,FRA,DF,21
468,Gonçalo Guedes,POR,"FW,MF",26
469,Diego Costa,ESP,FW,34
470,Pedro Neto,POR,"FW,MF",22
471,Adama Traoré,ESP,"FW,MF",27
472,Boubacar Traoré,MLI,MF,21
473,Raúl Jiménez,MEX,FW,31
474,Toti Gomes,POR,DF,24
475,Leander Dendoncker,BEL,MF,27
476,Matheus Cunha,BRA,FW,23
477,Morgan Gibbs-White,ENG,"FW,MF",23
478,Mario Lemina,GAB,MF,29
479,Joseph Hodge,IRL,MF,20
480,Pablo Sarabia,ESP,FW,30
481,Craig Dawson,ENG,DF,32
482,Sasa Kalajdzic,AUT,FW,25
483,Chem Campbell,WAL,"FW,MF",20
484,Dexter Lembikisa,JAM,DF,19
485,Connor Ronan,IRL,MF,24
486,Daniel Bentley,ENG,GK,29
487,Willy Boly,CIV,DF,32
488,Conor Coady,ENG,"DF,MF",29
489,Luke Cundle,ENG,MF,20
490,Nathan Fraser,IRL,FW,17
491,Harvey Griffiths,ENG,MF,19
492,Yerson Mosquera,COL,DF,21
493,Matija Šarkić,MNE,GK,25
494,Declan Rice,ENG,MF,24
495,Jarrod Bowen,ENG,"FW,MF",26
496,Łukasz Fabiański,POL,GK,37
497,Tomáš Souček,CZE,MF,27
498,Aaron Cresswell,ENG,DF,33
499,Thilo Kehrer,GER,DF,26
500,Kurt Zouma,FRA,DF,28
501,Vladimír Coufal,CZE,DF,30
502,Lucas Paquetá,BRA,MF,25
503,Saïd Benrahma,ALG,"FW,MF",27
504,Pablo Fornals,ESP,"FW,MF",26
505,Gianluca Scamacca,ITA,FW,24
506,Michail Antonio,JAM,FW,32
507,Craig Dawson,ENG,DF,32
508,Ben Johnson,ENG,DF,23
509,Emerson Palmieri,ITA,"DF,MF",28
510,Nayef Aguerd,MAR,DF,26
511,Angelo Ogbonna,ITA,DF,34
512,Flynn Downes,ENG,MF,24
513,Manuel Lanzini,ARG,"MF,FW",29
514,Maxwel Cornet,CIV,FW,26
515,Alphonse Areola,FRA,GK,29
516,Danny Ings,ENG,FW,30
517,Divin Mubama,ENG,FW,18
518,Conor Coventry,IRL,"MF,FW",22
519,Joseph Anang,ENG,GK,22
520,Harrison Ashby,SCO,DF,21
521,Krisztián Hegyi,HUN,GK,20
522,Armstrong Okoflex,IRL,MF,20
523,Darren Randolph,IRL,GK,35
524,Nikola Vlašić,CRO,"FW,MF",25
525,Illan Meslier,FRA,GK,22
526,Robin Koch,GER,DF,26
527,Pascal Struijk,NED,DF,23
528,Brenden Aaronson,USA,"MF,FW",22
529,Marc Roca,ESP,MF,26
530,Tyler Adams,USA,MF,23
531,Rodrigo,ESP,"FW,MF",31
532,Jack Harrison,ENG,"FW,MF",26
533,Rasmus Nissen,DEN,DF,25
534,Liam Cooper,SCO,DF,31
535,Diego Llorente,ESP,DF,29
536,Degnand Gnonto,ITA,"FW,MF",19
537,Luis Sinisterra,COL,FW,23
538,Luke Ayling,ENG,DF,31
539,Crysencio Summerville,NED,FW,21
540,Patrick Bamford,ENG,FW,29
541,Sam Greenwood,ENG,"MF,FW",21
542,Maximilian Wöber,AUT,DF,25
543,Daniel James,WAL,FW,25
544,Adam Forshaw,ENG,MF,31
545,Joe Gelhardt,ENG,FW,20
546,Junior Firpo,ESP,DF,26
547,Cody Drameh,ENG,DF,21
548,Mateusz Klich,POL,"MF,FW",32
549,Weston McKennie,USA,MF,24
550,Georginio Rutter,FRA,FW,20
551,Darko Gyabi,ENG,FW,18
552,Mateo Fernández,ESP,MF,19
553,Leo Fuhr Hjelde,NOR,DF,19
554,Archie Gray,ENG,MF,16
555,Kristoffer Klaesson,NOR,GK,22
556,Sonny Perkins,ENG,FW,18
557,Joel Robles,ESP,GK,32
558,James Tarkowski,ENG,DF,30
559,Alex Iwobi,NGA,MF,26
560,Vitaliy Mykolenko,UKR,"DF,MF",23
561,Jordan Pickford,ENG,GK,28
562,Conor Coady,ENG,DF,29
563,Demarai Gray,ENG,"FW,MF",26
564,Amadou Onana,BEL,MF,21
565,Idrissa Gana Gueye,SEN,MF,33
566,Anthony Gordon,ENG,FW,21
567,Nathan Patterson,SCO,"DF,MF",21
568,Dwight McNeil,ENG,"FW,DF",23
569,Séamus Coleman,IRL,DF,34
570,Dominic Calvert-Lewin,ENG,FW,25
571,Neal Maupay,FRA,FW,26
572,Tom Davies,ENG,MF,24
573,Mason Holgate,ENG,DF,26
574,Abdoulaye Doucouré,MLI,MF,30
575,Yerry Mina,COL,DF,28
576,Ben Godfrey,ENG,DF,25
577,Salomón Rondón,VEN,FW,33
578,Asmir Begović,BIH,GK,35
579,James Garner,ENG,MF,21
580,Dele Alli,ENG,MF,26
581,Isaac Price,NIR,MF,19
582,Rúben Vinagre,POR,"DF,MF",23
583,Thomas Cannon,IRL,FW,20
584,Michael Keane,ENG,DF,30
585,Ellis Simms,ENG,FW,22
586,Kyle Alex John,ENG,DF,21
587,Allan,BRA,"DF,MF",32
588,Jean-Philippe Gbamin,CIV,"DF,MF",27
589,André Gomes,POR,MF,29
590,Eldin Jakupović,SUI,GK,38
591,Stanley Mills,ENG,MF,19
592,Lewis Warrington,ENG,MF,20
593,Reece Welch,ENG,DF,19
594,Jefferson Lerma,COL,"MF,DF",28
595,Adam Smith,ENG,DF,31
596,Philip Billing,DEN,"MF,FW",26
597,Chris Mepham,WAL,DF,25
598,Lewis Cook,ENG,MF,26
599,Marcos Senesi,ARG,DF,25
600,Dominic Solanke,ENG,"FW,MF",25
601,Marcus Tavernier,ENG,"MF,FW",23
602,Jordan Zemura,ZIM,DF,23
603,Kieffer Moore,WAL,FW,30
604,Ryan Christie,SCO,"MF,FW",27
605,Neto,BRA,GK,33
606,Mark Travers,IRL,GK,23
607,Lloyd Kelly,ENG,DF,24
608,Jaidon Anthony,ENG,"MF,FW",23
609,Ryan Fredericks,ENG,DF,30
610,Jack Stacey,ENG,DF,26
611,Ben Pearson,ENG,MF,28
612,Jack Stephens,ENG,DF,29
613,Dango Ouattara,BFA,MF,20
614,Joe Rothwell,ENG,"MF,DF",28
615,Antoine Semenyo,GHA,FW,23
616,Hamed Junior Traorè,CIV,FW,22
617,Siriki Dembélé,CIV,"FW,MF",26
618,Junior Stanislas,ENG,MF,33
619,Jamal Lowe,JAM,"MF,FW",28
620,Matías Viña,URU,MF,25
621,Owen Bevan,WAL,DF,19
622,Emiliano Marcondes,DEN,MF,27
623,Daniel Adu-Adjei,ENG,FW,17
624,Michael DaCosta,ESP,FW,17
625,Will Dennis,ENG,GK,22
626,Ben Greenwood,IRL,DF,19
627,James Hill,ENG,DF,21
628,Cameron Plain,ENG,GK,20
629,Euan Pollock,ENG,FW,20
630,Dominic Sadi,ENG,MF,19
631,Christian Saydee,LBR,FW,20
632,Maxwell Wellings,ENG,DF,18
633,Gavin Bazunu,IRL,GK,20
634,James Ward-Prowse,ENG,MF,28
635,Mohammed Salisu,GHA,DF,23
636,Che Adams,SCO,FW,26
637,Mohamed Elyounoussi,NOR,"MF,FW",28
638,Kyle Walker-Peters,ENG,DF,25
639,Romain Perraud,FRA,DF,25
640,Armel Bella Kotchap,GER,DF,21
641,Adam Armstrong,ENG,FW,25
642,Joe Aribo,NGA,"MF,FW",26
643,Roméo Lavia,BEL,MF,19
644,Ibrahima Diallo,FRA,MF,23
645,Stuart Armstrong,SCO,"MF,FW",30
646,Duje Ćaleta-Car,CRO,DF,26
647,Lyanco,BRA,DF,26
648,Moussa Djenepo,MLI,"DF,FW",24
649,Ainsley Maitland-Niles,ENG,"MF,DF",25
650,Samuel Edozie,ENG,"FW,MF",20
651,Sekou Mara,FRA,"FW,MF",20
652,Jan Bednarek,POL,DF,26
653,Juan Larios,ESP,DF,19
654,Theo Walcott,ENG,"FW,MF",33
655,James Bree,ENG,DF,25
656,Oriol Romeu,ESP,MF,31
657,Yan Valery,TUN,DF,23
658,Carlos Alcaraz,ARG,MF,20
659,Jack Stephens,ENG,DF,29
660,Paul Onuachu,NGA,FW,28
661,Kamaldeen Sulemana,GHA,MF,20
662,Mislav Oršić,CRO,MF,30
663,Nathan Redmond,ENG,DF,28
664,Willy Caballero,ARG,GK,41
665,Ryan Finnigan,ENG,MF,19
666,Alex McCarthy,ENG,GK,33
667,Jimmy Morgan,ENG,FW,17
668,Lewis Payne,ENG,DF,18
669,Alex Meret,ITA,GK,25
670,Giovanni Di Lorenzo,ITA,DF,29
671,Kim Min-jae,KOR,DF,26
672,Stanislav Lobotka,SVK,MF,28
673,Andre-Frank Zambo Anguissa,CMR,MF,27
674,Victor Osimhen,NGA,FW,24
675,Mário Rui,POR,DF,31
676,Piotr Zieliński,POL,MF,28
677,Khvicha Kvaratskhelia,GEO,FW,21
